name,poi
BELDEN TIMOTHY N,0.16179638164839946
BOWEN JR RAYMOND M,0.10016952710678399
HANNON KEVIN P,0.27043570002354445
DELAINEY DAVID W,0.0855716040467221
CAUSEY RICHARD A,0.11137890904999377
HICKERSON GARY J,0.1136256962183514
FREVERT MARK A,0.4313071938667395
CHAN RONNIE,0.10213267853063494
DONAHUE JR JEFFREY M,0.11157787271794853
REYNOLDS LAWRENCE,0.10345542141730903
HORTON STANLEY C,0.11862979001975853
LEWIS RICHARD,0.10894740755934107
SHERRICK JEFFREY B,0.11328506733303283
MEYER JEROME J,0.09442156983727146
DERRICK JR. JAMES V,0.20722935874667714
PIRO JIM,0.11426670399484877
DETMERING TIMOTHY J,0.11631727653144147
KISHKILL JOSEPH G,0.09955341545965159
BAY FRANKLIN R,0.11172757283379471
PRENTICE JAMES,0.10819692525924897
TOTAL,0.119517129861154
FALLON JAMES B,0.11091008500042161
METTS MARK,0.12713377042645613
WODRASKA JOHN,0.11850307222405553
MORDAUNT KRISTINA M,0.11088727288122684
CARTER REBECCA C,0.10609340512493971
BHATNAGAR SANJAY,0.12058327212348563
WALTERS GARETH W,0.109956188643321
BIBI PHILIPPE A,0.10635011391149166
SHERRIFF JOHN R,0.12075453575304099
GIBBS DANA R,0.11760381131321654
LINDHOLM TOD A,0.12054898610965906
MCMAHON JEFFREY,0.11977172272714266
